unit_id,lcdb_class,area_ha,advisory_rule_ids,pre1990_overlap_m2,pre1990_overlap_pct,conservation_overlap_m2,conservation_overlap_pct,max_overlap_pct
lcdb1000226494,Low Producing Grassland,4.5355,R-03-low-overlap,441.56,0.9736,0.0,0.0,0.9736
lcdb1000034708,High Producing Exotic Grassland,390.8594,R-03-low-overlap,37681.4,0.9641,0.0,0.0,0.9641
lcdb1000035168,High Producing Exotic Grassland,2.1321,R-04-low-overlap,0.0,0.0,204.68,0.96,0.96
lcdb1000043194,High Producing Exotic Grassland,21.1674,R-03-low-overlap,1993.24,0.9417,0.0,0.0,0.9417
lcdb1000057748,Low Producing Grassland,20.0358,R-03-low-overlap,1838.88,0.9178,0.0,0.0,0.9178
lcdb1000035378-part-7,High Producing Exotic Grassland,131.9398,R-03-low-overlap,11997.13,0.9093,0.0,0.0,0.9093
lcdb2000500037,High Producing Exotic Grassland,678.2615,R-03-low-overlap,61415.93,0.9055,0.0,0.0,0.9055
lcdb1000035378-part-11,High Producing Exotic Grassland,16345.5133,R-03-low-overlap|R-04-low-overlap,1468588.41,0.8985,120791.47,0.0739,0.8985
lcdb1000404768,High Producing Exotic Grassland,7.9612,R-03-low-overlap,703.14,0.8832,0.0,0.0,0.8832
lcdb1000071744,Gorse and/or Broom,11.8506,R-03-low-overlap,1037.06,0.8751,0.0,0.0,0.8751
lcdb1000403370,Low Producing Grassland,11.4996,R-03-low-overlap,977.46,0.85,0.0,0.0,0.85
lcdb1000700771,High Producing Exotic Grassland,13.9693,R-03-low-overlap,1182.23,0.8463,0.0,0.0,0.8463
lcdb1000034741,High Producing Exotic Grassland,2.3179,R-03-low-overlap,192.46,0.8303,0.0,0.0,0.8303
lcdb1000057816,Low Producing Grassland,16.9411,R-03-low-overlap,1399.39,0.826,0.0,0.0,0.826
lcdb1000611256,High Producing Exotic Grassland,27.4739,R-04-low-overlap,0.0,0.0,2267.66,0.8254,0.8254
lcdb1000035680-part-70,High Producing Exotic Grassland,17728.4174,R-03-low-overlap|R-04-low-overlap,1458934.47,0.8229,53242.29,0.03,0.8229
lcdb1000041152,High Producing Exotic Grassland,184.505,R-03-low-overlap,15133.62,0.8202,0.0,0.0,0.8202
lcdb2000501580,High Producing Exotic Grassland,26.2604,R-04-low-overlap,0.0,0.0,2127.74,0.8102,0.8102
lcdb1000035680-part-118,High Producing Exotic Grassland,36801.4156,R-03-low-overlap|R-04-low-overlap,405503.84,0.1102,2972336.33,0.8077,0.8077
lcdb1000407188,Low Producing Grassland,4.5823,R-03-low-overlap,367.36,0.8017,0.0,0.0,0.8017
lcdb1000058040,Low Producing Grassland,20.8054,R-03-low-overlap,1665.41,0.8005,0.0,0.0,0.8005
lcdb1000400913,High Producing Exotic Grassland,57.1338,R-03-low-overlap,4436.42,0.7765,0.0,0.0,0.7765
lcdb1000059961,Low Producing Grassland,6667.4663,R-03-low-overlap|R-04-low-overlap,499721.07,0.7495,4371.72,0.0066,0.7495
lcdb1000035992,High Producing Exotic Grassland,166.789,R-04-low-overlap,0.0,0.0,12458.04,0.7469,0.7469
lcdb1000036730,High Producing Exotic Grassland,536.6579,R-03-low-overlap,39488.0,0.7358,0.0,0.0,0.7358
lcdb1000036854,High Producing Exotic Grassland,562.1412,R-03-low-overlap|R-04-low-overlap,41363.86,0.7358,16.7,0.0003,0.7358
lcdb1000035378-part-34,High Producing Exotic Grassland,474.2522,R-03-low-overlap|R-04-low-overlap,4659.74,0.0983,33439.15,0.7051,0.7051
lcdb1000036940,High Producing Exotic Grassland,253.149,R-03-low-overlap,17792.17,0.7028,0.0,0.0,0.7028
