finding,value
scope,screening/triage only; not an eligibility determination
study_area,Gisborne District
input_lcdb_units,5712
lcdb_unit_area_ha_min,0.0001
lcdb_unit_area_ha_median,2.4853
lcdb_unit_area_ha_max,36801.4156
candidate_review,3069
candidate_review_clean,2509
candidate_review_with_advisory,560
candidate_review_area_ha,309480.7
candidate_review_conflict_free_area_ha,307934.1
candidate_advisory_flags,"{""R-01-near-threshold"": 40, ""R-01-contiguous"": 288, ""R-02-contiguous"": 141, ""R-03-clip-required"": 41, ""R-03-low-overlap"": 161, ""R-04-clip-required"": 22, ""R-04-low-overlap"": 33}"
quarantine,2443
excluded,200
automated_reject_rate,0.4627
failed_by_rule,"{""R-01"": 1198, ""R-02"": 638, ""R-03"": 603, ""R-04"": 200, ""R-05"": 1574}"
ap_vs_erosion_disagreements,694
ap_vs_erosion_disagreement_rate,0.1215
ap_vs_erosion_disagreements_convex,293
ap_vs_erosion_disagreement_median_area_ha,0.4439
width_method_disagreements,381
erosion_core_but_rectangle_below_threshold,381
rectangle_pass_but_no_erosion_core,0
core_only_units_with_split_core,126
core_only_units_with_two_parts_over_500_m2,33
core_only_units_with_two_parts_over_1000_m2,14
width_example_ids,"[""lcdb1000002347"", ""lcdb1000004900"", ""lcdb1000008518-part-1""]"
nztm_area_pass,4223
naive_wgs84_area_pass,0
false_rejections_if_square_degrees_treated_as_square_metres,4223
false_qualifications_in_same_error,0
pre1990_area_only_flags,900
pre1990_pct_only_flags,691
pre1990_material_flags,603
pre1990_ge_1ha_below_1pct_units,48
pre1990_ge_1ha_below_1pct_overlap_ha,1012.4
pre1990_ge_1ha_below_1pct_max_overlap_ha,146.9
pre1990_sliver_only_units_previously_material,73
pre1990_clip_required_units,44
pre1990_advisory_units,297
conservation_area_only_flags,302
conservation_pct_only_flags,224
conservation_material_flags,200
conservation_ge_1ha_below_1pct_units,25
conservation_ge_1ha_below_1pct_overlap_ha,668.6
conservation_ge_1ha_below_1pct_max_overlap_ha,297.2
conservation_sliver_only_units_previously_material,20
conservation_clip_required_units,27
conservation_advisory_units,102
layout_inset,"{""unit_id"": ""lcdb1000453434"", ""equivalent_rectangle_m"": 22.848, ""area_perimeter_m"": 22.458, ""erosion_core_parts"": 6, ""erosion_core_parts_over_500_m2"": 2}"
visual_review_status,pending_independent_human_review
visual_review_sample_size,30
visual_review_labels_recorded,0
