unit_id,rule_id,rule_name,testable_from_open_data,outcome,passed,observed
lcdb1000000814,R-01,Area at least 1 hectare,yes,pass,True,area_ha=5.8069; contiguous_plantable_ha=none
lcdb1000000814,R-02,Average width at least 30 metres,proxy,pass,True,equivalent_rectangle_m=240.976; erosion_core=yes; area_perimeter_m=121.252
lcdb1000000814,R-03,Not materially mapped as pre-1990 forest land,partial,pass,True,overlap_m2=0.00; overlap_pct=0.0000; sliver_filtered_m2=0.00
lcdb1000000814,R-04,No material supplied public-conservation overlap,yes,pass,True,overlap_m2=0.00; overlap_pct=0.0000; sliver_filtered_m2=0.00
lcdb1000000814,R-05,Current land-cover proxy is potentially plantable,proxy,fail,False,Built-up Area (settlement)
lcdb1000000814,R-06,Species qualifies as forest species,no,manual,,manual evidence required
lcdb1000000814,R-07,Crown cover more than 30 percent in each hectare,no,manual,,manual evidence required
lcdb1000000814,R-08,Species capable of reaching 5 metres at maturity,no,manual,,manual evidence required
lcdb1000000814,R-09,Exotic forest on LUC class 1 to 6 land within registration limits,no,manual,,manual evidence required
lcdb1000000814,R-10,Not area 1 (approved) land or P90 offsetting land and not already registered,no,manual,,manual evidence required
lcdb1000000814,R-11,Applicant holds a registrable interest,no,manual,,manual evidence required
lcdb1000000815,R-01,Area at least 1 hectare,yes,pass,True,area_ha=18.1101; contiguous_plantable_ha=none
lcdb1000000815,R-02,Average width at least 30 metres,proxy,pass,True,equivalent_rectangle_m=152.205; erosion_core=yes; area_perimeter_m=134.943
lcdb1000000815,R-03,Not materially mapped as pre-1990 forest land,partial,pass,True,overlap_m2=0.00; overlap_pct=0.0000; sliver_filtered_m2=0.00
lcdb1000000815,R-04,No material supplied public-conservation overlap,yes,pass,True,overlap_m2=0.00; overlap_pct=0.0000; sliver_filtered_m2=0.00
lcdb1000000815,R-05,Current land-cover proxy is potentially plantable,proxy,fail,False,Built-up Area (settlement)
lcdb1000000815,R-06,Species qualifies as forest species,no,manual,,manual evidence required
lcdb1000000815,R-07,Crown cover more than 30 percent in each hectare,no,manual,,manual evidence required
lcdb1000000815,R-08,Species capable of reaching 5 metres at maturity,no,manual,,manual evidence required
lcdb1000000815,R-09,Exotic forest on LUC class 1 to 6 land within registration limits,no,manual,,manual evidence required
lcdb1000000815,R-10,Not area 1 (approved) land or P90 offsetting land and not already registered,no,manual,,manual evidence required
lcdb1000000815,R-11,Applicant holds a registrable interest,no,manual,,manual evidence required
lcdb1000000822,R-01,Area at least 1 hectare,yes,pass,True,area_ha=7.3351; contiguous_plantable_ha=none
lcdb1000000822,R-02,Average width at least 30 metres,proxy,pass,True,equivalent_rectangle_m=226.464; erosion_core=yes; area_perimeter_m=133.278
lcdb1000000822,R-03,Not materially mapped as pre-1990 forest land,partial,pass,True,overlap_m2=0.00; overlap_pct=0.0000; sliver_filtered_m2=0.00
lcdb1000000822,R-04,No material supplied public-conservation overlap,yes,pass,True,overlap_m2=0.00; overlap_pct=0.0000; sliver_filtered_m2=0.00
lcdb1000000822,R-05,Current land-cover proxy is potentially plantable,proxy,fail,False,Built-up Area (settlement)
lcdb1000000822,R-06,Species qualifies as forest species,no,manual,,manual evidence required
lcdb1000000822,R-07,Crown cover more than 30 percent in each hectare,no,manual,,manual evidence required
lcdb1000000822,R-08,Species capable of reaching 5 metres at maturity,no,manual,,manual evidence required
lcdb1000000822,R-09,Exotic forest on LUC class 1 to 6 land within registration limits,no,manual,,manual evidence required
lcdb1000000822,R-10,Not area 1 (approved) land or P90 offsetting land and not already registered,no,manual,,manual evidence required
lcdb1000000822,R-11,Applicant holds a registrable interest,no,manual,,manual evidence required
lcdb1000000823,R-01,Area at least 1 hectare,yes,pass,True,area_ha=2.6380; contiguous_plantable_ha=none
lcdb1000000823,R-02,Average width at least 30 metres,proxy,pass,True,equivalent_rectangle_m=89.065; erosion_core=yes; area_perimeter_m=68.475
lcdb1000000823,R-03,Not materially mapped as pre-1990 forest land,partial,pass,True,overlap_m2=0.00; overlap_pct=0.0000; sliver_filtered_m2=0.00
lcdb1000000823,R-04,No material supplied public-conservation overlap,yes,pass,True,overlap_m2=0.00; overlap_pct=0.0000; sliver_filtered_m2=0.00
lcdb1000000823,R-05,Current land-cover proxy is potentially plantable,proxy,fail,False,Built-up Area (settlement)
lcdb1000000823,R-06,Species qualifies as forest species,no,manual,,manual evidence required
lcdb1000000823,R-07,Crown cover more than 30 percent in each hectare,no,manual,,manual evidence required
lcdb1000000823,R-08,Species capable of reaching 5 metres at maturity,no,manual,,manual evidence required
lcdb1000000823,R-09,Exotic forest on LUC class 1 to 6 land within registration limits,no,manual,,manual evidence required
lcdb1000000823,R-10,Not area 1 (approved) land or P90 offsetting land and not already registered,no,manual,,manual evidence required
lcdb1000000823,R-11,Applicant holds a registrable interest,no,manual,,manual evidence required
lcdb1000000825,R-01,Area at least 1 hectare,yes,pass,True,area_ha=35.0626; contiguous_plantable_ha=none
lcdb1000000825,R-02,Average width at least 30 metres,proxy,pass,True,equivalent_rectangle_m=134.782; erosion_core=yes; area_perimeter_m=128.143
lcdb1000000825,R-03,Not materially mapped as pre-1990 forest land,partial,pass,True,overlap_m2=0.00; overlap_pct=0.0000; sliver_filtered_m2=0.00
lcdb1000000825,R-04,No material supplied public-conservation overlap,yes,pass,True,overlap_m2=0.00; overlap_pct=0.0000; sliver_filtered_m2=0.00
lcdb1000000825,R-05,Current land-cover proxy is potentially plantable,proxy,fail,False,Built-up Area (settlement)
lcdb1000000825,R-06,Species qualifies as forest species,no,manual,,manual evidence required
lcdb1000000825,R-07,Crown cover more than 30 percent in each hectare,no,manual,,manual evidence required
lcdb1000000825,R-08,Species capable of reaching 5 metres at maturity,no,manual,,manual evidence required
lcdb1000000825,R-09,Exotic forest on LUC class 1 to 6 land within registration limits,no,manual,,manual evidence required
lcdb1000000825,R-10,Not area 1 (approved) land or P90 offsetting land and not already registered,no,manual,,manual evidence required
lcdb1000000825,R-11,Applicant holds a registrable interest,no,manual,,manual evidence required
lcdb1000000827,R-01,Area at least 1 hectare,yes,pass,True,area_ha=32.0082; contiguous_plantable_ha=none
lcdb1000000827,R-02,Average width at least 30 metres,proxy,pass,True,equivalent_rectangle_m=186.460; erosion_core=yes; area_perimeter_m=168.191
lcdb1000000827,R-03,Not materially mapped as pre-1990 forest land,partial,pass,True,overlap_m2=0.00; overlap_pct=0.0000; sliver_filtered_m2=0.00
lcdb1000000827,R-04,No material supplied public-conservation overlap,yes,pass,True,overlap_m2=0.00; overlap_pct=0.0000; sliver_filtered_m2=0.00
lcdb1000000827,R-05,Current land-cover proxy is potentially plantable,proxy,fail,False,Built-up Area (settlement)
lcdb1000000827,R-06,Species qualifies as forest species,no,manual,,manual evidence required
lcdb1000000827,R-07,Crown cover more than 30 percent in each hectare,no,manual,,manual evidence required
lcdb1000000827,R-08,Species capable of reaching 5 metres at maturity,no,manual,,manual evidence required
lcdb1000000827,R-09,Exotic forest on LUC class 1 to 6 land within registration limits,no,manual,,manual evidence required
lcdb1000000827,R-10,Not area 1 (approved) land or P90 offsetting land and not already registered,no,manual,,manual evidence required
lcdb1000000827,R-11,Applicant holds a registrable interest,no,manual,,manual evidence required
lcdb1000000828,R-01,Area at least 1 hectare,yes,pass,True,area_ha=58.0443; contiguous_plantable_ha=none
lcdb1000000828,R-02,Average width at least 30 metres,proxy,pass,True,equivalent_rectangle_m=234.739; erosion_core=yes; area_perimeter_m=214.387
lcdb1000000828,R-03,Not materially mapped as pre-1990 forest land,partial,advisory,,overlap_m2=0.00; overlap_pct=0.0000; sliver_filtered_m2=0.00
lcdb1000000828,R-04,No material supplied public-conservation overlap,yes,pass,True,overlap_m2=0.00; overlap_pct=0.0000; sliver_filtered_m2=0.00
lcdb1000000828,R-05,Current land-cover proxy is potentially plantable,proxy,fail,False,Built-up Area (settlement)
lcdb1000000828,R-06,Species qualifies as forest species,no,manual,,manual evidence required
lcdb1000000828,R-07,Crown cover more than 30 percent in each hectare,no,manual,,manual evidence required
lcdb1000000828,R-08,Species capable of reaching 5 metres at maturity,no,manual,,manual evidence required
lcdb1000000828,R-09,Exotic forest on LUC class 1 to 6 land within registration limits,no,manual,,manual evidence required
lcdb1000000828,R-10,Not area 1 (approved) land or P90 offsetting land and not already registered,no,manual,,manual evidence required
lcdb1000000828,R-11,Applicant holds a registrable interest,no,manual,,manual evidence required
lcdb1000000829,R-01,Area at least 1 hectare,yes,pass,True,area_ha=14.4302; contiguous_plantable_ha=none
lcdb1000000829,R-02,Average width at least 30 metres,proxy,pass,True,equivalent_rectangle_m=186.494; erosion_core=yes; area_perimeter_m=150.275
lcdb1000000829,R-03,Not materially mapped as pre-1990 forest land,partial,pass,True,overlap_m2=0.00; overlap_pct=0.0000; sliver_filtered_m2=0.00
lcdb1000000829,R-04,No material supplied public-conservation overlap,yes,pass,True,overlap_m2=0.00; overlap_pct=0.0000; sliver_filtered_m2=0.00
lcdb1000000829,R-05,Current land-cover proxy is potentially plantable,proxy,fail,False,Built-up Area (settlement)
lcdb1000000829,R-06,Species qualifies as forest species,no,manual,,manual evidence required
lcdb1000000829,R-07,Crown cover more than 30 percent in each hectare,no,manual,,manual evidence required
lcdb1000000829,R-08,Species capable of reaching 5 metres at maturity,no,manual,,manual evidence required
lcdb1000000829,R-09,Exotic forest on LUC class 1 to 6 land within registration limits,no,manual,,manual evidence required
lcdb1000000829,R-10,Not area 1 (approved) land or P90 offsetting land and not already registered,no,manual,,manual evidence required
lcdb1000000829,R-11,Applicant holds a registrable interest,no,manual,,manual evidence required
lcdb1000000830,R-01,Area at least 1 hectare,yes,fail,False,area_ha=0.9344; contiguous_plantable_ha=none
lcdb1000000830,R-02,Average width at least 30 metres,proxy,pass,True,equivalent_rectangle_m=67.663; erosion_core=yes; area_perimeter_m=45.412
lcdb1000000830,R-03,Not materially mapped as pre-1990 forest land,partial,pass,True,overlap_m2=0.00; overlap_pct=0.0000; sliver_filtered_m2=0.00
lcdb1000000830,R-04,No material supplied public-conservation overlap,yes,pass,True,overlap_m2=0.00; overlap_pct=0.0000; sliver_filtered_m2=0.00
lcdb1000000830,R-05,Current land-cover proxy is potentially plantable,proxy,fail,False,Built-up Area (settlement)
