unit_id,width_area_perimeter_m,area_perimeter_pass,width_equivalent_rectangle_m,equivalent_rectangle_pass,erosion_core_pass,methods_disagree
lcdb1000000814,121.252,True,240.976,True,True,False
lcdb1000000815,134.943,True,152.205,True,True,False
lcdb1000000822,133.278,True,226.464,True,True,False
lcdb1000000823,68.475,True,89.065,True,True,False
lcdb1000000825,128.143,True,134.782,True,True,False
lcdb1000000827,168.191,True,186.46,True,True,False
lcdb1000000828,214.387,True,234.739,True,True,False
lcdb1000000829,150.275,True,186.494,True,True,False
lcdb1000000830,45.412,True,67.663,True,True,False
lcdb1000000831,63.344,True,87.691,True,True,False
lcdb1000000833,133.251,True,164.598,True,True,False
lcdb1000000837,128.3,True,201.189,True,True,False
lcdb1000000838,114.75,True,140.345,True,True,False
lcdb1000000840,108.611,True,146.915,True,True,False
lcdb1000000841,182.556,True,197.43,True,True,False
lcdb1000000842,75.599,True,88.559,True,True,False
lcdb1000000845,57.482,True,73.393,True,True,False
lcdb1000000847,332.681,True,335.149,True,True,False
lcdb1000000868,71.111,True,82.508,True,True,False
lcdb1000000878,60.944,True,64.733,True,True,False
lcdb1000000882,118.247,True,145.516,True,True,False
lcdb1000000886,64.537,True,74.883,True,True,False
lcdb1000000888,170.653,True,181.548,True,True,False
lcdb1000000892,49.002,True,58.346,True,True,False
lcdb1000000898,124.52,True,145.965,True,True,False
lcdb1000000899,81.521,True,90.63,True,True,False
lcdb1000000900,100.26,True,102.825,True,True,False
lcdb1000000901,63.358,True,81.94,True,True,False
lcdb1000000903,100.854,True,111.659,True,True,False
lcdb1000000905,66.183,True,83.075,True,True,False
lcdb1000000919,164.759,True,217.643,True,True,False
lcdb1000000924,83.115,True,141.902,True,True,False
lcdb1000000926,102.738,True,134.092,True,True,False
lcdb1000000928,82.313,True,124.655,True,True,False
lcdb1000000929,102.535,True,137.15,True,True,False
lcdb1000000930,99.922,True,195.595,True,True,False
lcdb1000000947,113.478,True,121.254,True,True,False
lcdb1000000948,91.128,True,95.582,True,True,False
lcdb1000000953,98.614,True,113.056,True,True,False
lcdb1000000972,58.687,True,61.812,True,True,False
lcdb1000001097,75.798,True,117.256,True,True,False
lcdb1000001098,110.86,True,114.466,True,True,False
lcdb1000001193,49.793,True,77.099,True,True,False
lcdb1000001276,85.969,True,92.474,True,True,False
lcdb1000001277,82.385,True,93.649,True,True,False
lcdb1000001327,92.588,True,116.578,True,True,False
lcdb1000001330,108.682,True,137.263,True,True,False
lcdb1000001334,69.441,True,74.695,True,True,False
lcdb1000002343,54.727,True,61.478,True,True,False
lcdb1000002347,21.016,False,23.674,False,True,True
lcdb1000002348,37.628,True,45.551,True,True,False
lcdb1000002349,109.07,True,151.29,True,True,False
lcdb1000002357,32.088,True,58.262,True,True,False
lcdb1000002359,146.347,True,163.497,True,True,False
lcdb1000002360,58.133,True,87.276,True,True,False
lcdb1000002364,40.09,True,60.369,True,True,False
lcdb1000002368,30.375,True,31.361,True,True,False
lcdb1000002401,76.588,True,89.194,True,True,False
lcdb1000002468,88.049,True,94.462,True,True,False
lcdb1000004879,118.72,True,177.328,True,True,False
lcdb1000004880,78.645,True,110.152,True,True,False
lcdb1000004881,65.117,True,75.93,True,True,False
lcdb1000004882,54.687,True,102.044,True,True,False
lcdb1000004883,99.358,True,105.376,True,True,False
lcdb1000004884,33.64,True,45.962,True,True,False
lcdb1000004885,59.53,True,100.586,True,True,False
lcdb1000004886,82.24,True,123.191,True,True,False
lcdb1000004887,49.674,True,76.369,True,True,False
lcdb1000004888,54.719,True,79.093,True,True,False
lcdb1000004890,84.514,True,92.14,True,True,False
lcdb1000004891,125.839,True,167.654,True,True,False
lcdb1000004892,30.542,True,51.589,True,True,False
lcdb1000004893,58.609,True,105.724,True,True,False
lcdb1000004894,33.605,True,65.596,True,True,False
lcdb1000004895,38.416,True,45.426,True,True,False
lcdb1000004896,79.018,True,94.018,True,True,False
lcdb1000004897,83.106,True,112.957,True,True,False
lcdb1000004898,39.243,True,57.911,True,True,False
lcdb1000004899,37.113,True,43.19,True,True,False
lcdb1000004900,24.088,False,27.107,False,True,True
lcdb1000004902,49.456,True,59.221,True,True,False
lcdb1000004903,52.707,True,63.304,True,True,False
lcdb1000004904,45.08,True,54.006,True,True,False
lcdb1000004905,36.609,True,49.616,True,True,False
lcdb1000004906,77.967,True,85.488,True,True,False
lcdb1000004907,34.068,True,35.543,True,True,False
lcdb1000004908,87.604,True,112.018,True,True,False
lcdb1000004909,72.887,True,89.475,True,True,False
lcdb1000004911,91.702,True,119.257,True,True,False
lcdb1000004912,88.554,True,172.967,True,True,False
lcdb1000004913,59.45,True,86.845,True,True,False
lcdb1000004914,52.712,True,69.013,True,True,False
lcdb1000004915,37.743,True,43.309,True,True,False
lcdb1000004916,61.205,True,99.021,True,True,False
lcdb1000004917,101.816,True,143.585,True,True,False
lcdb1000004918,79.367,True,113.982,True,True,False
lcdb1000004919,523.293,True,614.105,True,True,False
lcdb1000004920,48.085,True,56.557,True,True,False
lcdb1000004921,66.713,True,99.446,True,True,False
lcdb1000004922,42.057,True,53.616,True,True,False
lcdb1000004923,84.466,True,116.163,True,True,False
lcdb1000004924,34.601,True,42.545,True,True,False
lcdb1000004925,55.968,True,91.592,True,True,False
lcdb1000004926,53.429,True,60.337,True,True,False
lcdb1000004928,41.792,True,64.286,True,True,False
lcdb1000004929,70.3,True,102.085,True,True,False
lcdb1000004931,265.615,True,447.513,True,True,False
lcdb1000004933,110.041,True,150.685,True,True,False
lcdb1000004934,247.044,True,282.911,True,True,False
lcdb1000004935,51.587,True,72.691,True,True,False
lcdb1000004936,43.569,True,49.223,True,True,False
lcdb1000004938,102.387,True,116.601,True,True,False
lcdb1000004939,141.965,True,174.616,True,True,False
lcdb1000004940,113.195,True,129.652,True,True,False
lcdb1000004944,128.749,True,164.557,True,True,False
lcdb1000004945,251.397,True,453.415,True,True,False
lcdb1000004974,51.248,True,60.294,True,True,False
lcdb1000004975,36.003,True,56.546,True,True,False
lcdb1000004976,73.765,True,80.422,True,True,False
lcdb1000004977,155.302,True,192.787,True,True,False
lcdb1000005010,39.378,True,44.206,True,True,False
lcdb1000005066,123.299,True,131.088,True,True,False
lcdb1000005356,47.546,True,62.645,True,True,False
lcdb1000006739,74.993,True,140.176,True,True,False
lcdb1000007107,60.439,True,60.781,True,True,False
lcdb1000007355,33.792,True,44.599,True,True,False
lcdb1000007356,51.711,True,53.347,True,True,False
lcdb1000007490,76.973,True,79.043,True,True,False
lcdb1000007680,134.967,True,182.5,True,True,False
lcdb1000007684,133.039,True,154.554,True,True,False
lcdb1000007685,77.738,True,106.636,True,True,False
lcdb1000007695,91.79,True,168.156,True,True,False
lcdb1000007700,131.218,True,211.478,True,True,False
lcdb1000007722,131.684,True,219.736,True,True,False
lcdb1000007723,67.808,True,73.225,True,True,False
lcdb1000007794,56.794,True,74.493,True,True,False
lcdb1000008093,49.524,True,74.233,True,True,False
lcdb1000008094,120.598,True,133.034,True,True,False
lcdb1000008518-part-1,30.139,True,31.202,True,True,False
lcdb1000008518-part-2,25.59,False,26.472,False,True,True
lcdb1000008518-part-3,27.912,False,29.804,False,True,True
lcdb1000008521,63.016,True,64.998,True,True,False
lcdb1000008522,57.821,True,60.088,True,True,False
lcdb1000008523-part-1,56.329,True,64.825,True,True,False
lcdb1000008523-part-2,22.554,False,24.718,False,True,True
lcdb1000008525,33.504,True,34.919,True,True,False
lcdb1000008545-part-1,34.186,True,35.369,True,True,False
lcdb1000008545-part-2,14.15,False,15.155,False,False,False
lcdb1000008545-part-3,4.072,False,4.299,False,False,False
lcdb1000008552-part-1,64.197,True,64.811,True,True,False
lcdb1000008552-part-2,14.591,False,15.323,False,False,False
lcdb1000008554,51.989,True,52.626,True,True,False
lcdb1000008556,25.48,False,25.823,False,True,True
lcdb1000008559,92.912,True,94.848,True,True,False
lcdb1000008560,83.162,True,96.324,True,True,False
lcdb1000008561,64.867,True,82.459,True,True,False
lcdb1000008562,36.412,True,51.169,True,True,False
lcdb1000008563,51.715,True,53.788,True,True,False
lcdb1000008564-part-1,91.668,True,99.643,True,True,False
lcdb1000008564-part-2,50.926,True,55.054,True,True,False
lcdb1000008565,75.621,True,84.825,True,True,False
lcdb1000008566,151.386,True,161.783,True,True,False
lcdb1000008569,39.932,True,42.16,True,True,False
lcdb1000008570,45.459,True,46.28,True,True,False
lcdb1000008571,20.181,False,23.424,False,True,True
lcdb1000008572,41.849,True,42.699,True,True,False
