parcel_id,rule_id,rule_name,testable_from_open_data,passed,observed
G01,R-01,Area at least 1 ha,True,True,1.2
G01,R-02,30 m width erosion proxy,True,True,True
G01,R-03,No mapped pre-1990 overlap,True,True,True
G01,R-04,No public conservation overlap,True,True,True
G01,R-05,Plantable LCDB proxy class,True,True,High Producing Exotic Grassland
G01,R-06,Forest species,False,,manual evidence required
G01,R-07,Crown cover at maturity,False,,manual evidence required
G01,R-08,Height at maturity,False,,manual evidence required
G02,R-01,Area at least 1 ha,True,True,1.0
G02,R-02,30 m width erosion proxy,True,False,False
G02,R-03,No mapped pre-1990 overlap,True,True,True
G02,R-04,No public conservation overlap,True,True,True
G02,R-05,Plantable LCDB proxy class,True,True,Low Producing Grassland
G02,R-06,Forest species,False,,manual evidence required
G02,R-07,Crown cover at maturity,False,,manual evidence required
G02,R-08,Height at maturity,False,,manual evidence required
G03,R-01,Area at least 1 ha,True,False,0.64
G03,R-02,30 m width erosion proxy,True,True,True
G03,R-03,No mapped pre-1990 overlap,True,True,True
G03,R-04,No public conservation overlap,True,True,True
G03,R-05,Plantable LCDB proxy class,True,True,High Producing Exotic Grassland
G03,R-06,Forest species,False,,manual evidence required
G03,R-07,Crown cover at maturity,False,,manual evidence required
G03,R-08,Height at maturity,False,,manual evidence required
G04,R-01,Area at least 1 ha,True,True,2.08
G04,R-02,30 m width erosion proxy,True,True,True
G04,R-03,No mapped pre-1990 overlap,True,True,True
G04,R-04,No public conservation overlap,True,True,True
G04,R-05,Plantable LCDB proxy class,True,True,Gorse and/or Broom
G04,R-06,Forest species,False,,manual evidence required
G04,R-07,Crown cover at maturity,False,,manual evidence required
G04,R-08,Height at maturity,False,,manual evidence required
G05,R-01,Area at least 1 ha,True,True,1.3
G05,R-02,30 m width erosion proxy,True,True,True
G05,R-03,No mapped pre-1990 overlap,True,True,True
G05,R-04,No public conservation overlap,True,False,False
G05,R-05,Plantable LCDB proxy class,True,True,Low Producing Grassland
G05,R-06,Forest species,False,,manual evidence required
G05,R-07,Crown cover at maturity,False,,manual evidence required
G05,R-08,Height at maturity,False,,manual evidence required
G06,R-01,Area at least 1 ha,True,True,1.2
G06,R-02,30 m width erosion proxy,True,True,True
G06,R-03,No mapped pre-1990 overlap,True,True,True
G06,R-04,No public conservation overlap,True,True,True
G06,R-05,Plantable LCDB proxy class,True,False,Exotic Forest
G06,R-06,Forest species,False,,manual evidence required
G06,R-07,Crown cover at maturity,False,,manual evidence required
G06,R-08,Height at maturity,False,,manual evidence required
G07,R-01,Area at least 1 ha,True,True,1.5
G07,R-02,30 m width erosion proxy,True,True,True
G07,R-03,No mapped pre-1990 overlap,True,False,False
G07,R-04,No public conservation overlap,True,True,True
G07,R-05,Plantable LCDB proxy class,True,True,High Producing Exotic Grassland
G07,R-06,Forest species,False,,manual evidence required
G07,R-07,Crown cover at maturity,False,,manual evidence required
G07,R-08,Height at maturity,False,,manual evidence required
G08,R-01,Area at least 1 ha,True,True,2.04
G08,R-02,30 m width erosion proxy,True,True,True
G08,R-03,No mapped pre-1990 overlap,True,True,True
G08,R-04,No public conservation overlap,True,True,True
G08,R-05,Plantable LCDB proxy class,True,True,Mixed Exotic Shrubland
G08,R-06,Forest species,False,,manual evidence required
G08,R-07,Crown cover at maturity,False,,manual evidence required
G08,R-08,Height at maturity,False,,manual evidence required
G09,R-01,Area at least 1 ha,True,True,1.2
G09,R-02,30 m width erosion proxy,True,True,True
G09,R-03,No mapped pre-1990 overlap,True,True,True
G09,R-04,No public conservation overlap,True,True,True
G09,R-05,Plantable LCDB proxy class,True,True,Bare or Lightly Vegetated Surfaces
G09,R-06,Forest species,False,,manual evidence required
G09,R-07,Crown cover at maturity,False,,manual evidence required
G09,R-08,Height at maturity,False,,manual evidence required
G10,R-01,Area at least 1 ha,True,True,1.1
G10,R-02,30 m width erosion proxy,True,True,True
G10,R-03,No mapped pre-1990 overlap,True,True,True
G10,R-04,No public conservation overlap,True,True,True
G10,R-05,Plantable LCDB proxy class,True,False,Urban Parkland/Open Space
G10,R-06,Forest species,False,,manual evidence required
G10,R-07,Crown cover at maturity,False,,manual evidence required
G10,R-08,Height at maturity,False,,manual evidence required
G11,R-01,Area at least 1 ha,True,True,1.2
G11,R-02,30 m width erosion proxy,True,True,True
G11,R-03,No mapped pre-1990 overlap,True,True,True
G11,R-04,No public conservation overlap,True,True,True
G11,R-05,Plantable LCDB proxy class,True,True,Low Producing Grassland
G11,R-06,Forest species,False,,manual evidence required
G11,R-07,Crown cover at maturity,False,,manual evidence required
G11,R-08,Height at maturity,False,,manual evidence required
G12,R-01,Area at least 1 ha,True,True,1.0
G12,R-02,30 m width erosion proxy,True,True,True
G12,R-03,No mapped pre-1990 overlap,True,True,True
G12,R-04,No public conservation overlap,True,True,True
G12,R-05,Plantable LCDB proxy class,True,True,High Producing Exotic Grassland
G12,R-06,Forest species,False,,manual evidence required
G12,R-07,Crown cover at maturity,False,,manual evidence required
G12,R-08,Height at maturity,False,,manual evidence required
