rule_id,name,source_clause,source_url,testable_from_open_data,implementation,failure_action
R-01,Area at least 1 hectare,"Climate Change Response Act 2002, s 4(1), definition of forest land, para (a) (area of land of at least 1 hectare); MPI, How forest land is defined in the ETS (small areas under 1 hectare excluded only when more than 15 metres from adjacent forest)",https://www.legislation.govt.nz/act/public/2002/40/en/latest/sections/DLM158592/,yes,"Compare unrounded area in EPSG:2193 with 10000 square metres. A smaller unit passes with advisory R-01-contiguous when eligible plantable units within 15 metres of each other together reach 1 hectare; a passing unit under 1.05 hectares carries advisory R-01-near-threshold","Quarantine and record measured hectares and the contiguous plantable block area; adjacency is approximated from mapped land cover, not from forest that exists or is registered"
R-02,Average width at least 30 metres,"Climate Change Response Act 2002, s 4(1), definition of forest land, para (c)(i) (shelter belts under 30 metres average width excluded) and para (c)(ii) (other areas under 30 metres average width excluded unless contiguous with land meeting para (a) or (b)); MPI, Registering areas of forest land less than 30 metres wide on average in the ETS, 10 May 2026, p 1 (method) and p 2 (15 metre adjacency)",https://www.mpi.govt.nz/dmsdocument/71887/direct,proxy,"Require both a surviving erosion core at half the threshold less 1 millimetre and an equivalent-rectangle width (same area and perimeter) of at least 30 metres; 2A/P is reported but not used. A failing unit passes with advisory R-02-contiguous when it lies in a 15 metre adjacency block with a unit that passes R-01 and R-02 on its own; neither proxy is the legal centre-line method","Quarantine for assessor measurement; the contiguity route approximates para (c)(ii) and MPI's 15 metre route and does not apply to shelter belts under para (c)(i)"
R-03,Not materially mapped as pre-1990 forest land,"Climate Change Response Act 2002, s 4(1), definitions of post-1989 forest land, para (a)(i) (not forest land on 31 December 1989), and pre-1990 forest land, para (a)(i)",https://www.legislation.govt.nz/act/public/2002/40/en/latest/sections/DLM158592/,partial,"Calculate intersection area and percentage with supplied LUCAS evidence, then remove parts of the intersection narrower than 15 metres by morphological opening. The supplied evidence layer holds only LUCAS 1989 class 72 planted forest; natural forest in 1989 (class 71) is not yet included","Quarantine when the sliver-filtered overlap is greater than 1 square metre and either at least 1 percent of the unit or at least 1 hectare; retain other positive overlaps as advisory R-03-low-overlap; require manual land-history review in every case"
R-04,No material supplied public-conservation overlap,Project triage policy; ownership and registered rights still require authoritative evidence,https://www.mpi.govt.nz/forestry/forestry-in-the-emissions-trading-scheme/mapping-and-managing-forest-land-in-the-ets/making-sure-mapped-land-is-eligible-for-the-emissions-trading-scheme,yes,"Calculate intersection area and percentage with DOC public-conservation polygons, then remove parts of the intersection narrower than 15 metres by morphological opening","Exclude from this opportunity queue when the sliver-filtered overlap is greater than 1 square metre and either at least 1 percent of the unit or at least 1 hectare; retain other positive overlaps as advisory R-04-low-overlap"
R-05,Current land-cover proxy is potentially plantable,Project proxy based on LCDB class; not an ETS eligibility rule,https://lris.scinfo.org.nz/layer/123148-lcdb-v60-land-cover-database-version-60-mainland-new-zealand/,proxy,Configurable LCDB class allow-list,Quarantine and inspect current imagery
R-06,Species qualifies as forest species,"Climate Change Response Act 2002, s 4(1), definition of forest species (excludes tree species grown or managed primarily for fruit or nut crops)",https://www.legislation.govt.nz/act/public/2002/40/en/latest/sections/DLM158592/,no,Not implemented,Manual evidence required
R-07,Crown cover more than 30 percent in each hectare,"Climate Change Response Act 2002, s 4(1), definition of forest land, para (a) (has, or is likely to have, tree crown cover from forest species of more than 30% in each hectare)",https://www.legislation.govt.nz/act/public/2002/40/en/latest/sections/DLM158592/,no,Not implemented,Manual evidence and imagery review required
R-08,Species capable of reaching 5 metres at maturity,"Climate Change Response Act 2002, s 4(1), definition of forest species (capable of reaching at least 5 metres in height at maturity in the place where it is located)",https://www.legislation.govt.nz/act/public/2002/40/en/latest/sections/DLM158592/,no,Not implemented,Manual species and site evidence required
R-09,Exotic forest on LUC class 1 to 6 land within registration limits,"MPI, How forest land is defined in the ETS (restrictions on registering exotic forest on LUC class 1-6 land); the underlying provisions, limits and exemptions have not been verified by this project",https://www.mpi.govt.nz/forestry/forestry-in-the-emissions-trading-scheme/about-forestry-in-the-emissions-trading-scheme-ets/how-forest-land-is-defined-in-the-ets,no,Not implemented; no LUC layer is supplied,Manual check of LUC class and the farm-level registration limit required before any exotic planting is treated as registrable
R-10,Not area 1 (approved) land or P90 offsetting land and not already registered,"Climate Change Response Act 2002, s 4(1), definition of post-1989 forest land, para (b); existing ETS registration status",https://www.legislation.govt.nz/act/public/2002/40/en/latest/sections/DLM158592/,no,Not implemented; no open layer records these statuses,Manual check of MPI records required
R-11,Applicant holds a registrable interest,"Climate Change Response Act 2002, provisions on who may register post-1989 forest land (landowner, or holder of a registered forestry right, registered lease or Crown conservation contract); section references not verified by this project",https://www.legislation.govt.nz/act/public/2002/40/en/latest/sections/DLM158592/,no,Not implemented; cadastral title and registered interests are not supplied,Manual title and rights evidence required
